Home Team,Home Score,Away Team,Away Score,HomeAway Bool
BYU,20,Portland St,6,1
Massachusetts,35,Hawaii,38,1
Colorado St,58,Oregon St,27,1
San Jose St,22,South Florida,42,1
Stanford,62,Rice,7,0
C Michigan,30,Rhode Island,27,1
Cincinnati,26,Austin Peay,14,1
Connecticut,27,Holy Cross,20,1
Georgia St,10,Tennessee St,17,1
Toledo,47,Elon,13,1
Wake Forest,51,Presbyterian,7,1
Utah,37,North Dakota,16,1
Idaho,28,CS Sacramento,6,1
Arkansas,49,Florida A&M,7,1
Indiana,21,Ohio St,49,1
Memphis,37,ULM,29,1
Minnesota,17,Buffalo,7,1
Arizona St,37,New Mexico St,31,1
UCF,61,Florida Intl,17,1
Oklahoma St,59,Tulsa,24,1
Syracuse,50,Central Conn,7,1
Army,64,Fordham,6,1
E Michigan,24,Charlotte,7,1
Rutgers,14,Washington,30,1
N Illinois,20,Boston College,23,1
Wisconsin,59,Utah St,10,1
Colorado,17,Colorado St,3,0
FL Atlantic,19,Navy,42,1
Duke,60,NC Central,7,1
East Carolina,14,James Madison,34,1
Miami FL,41,Bethune-Cookman,13,1
Ohio,59,Hampton,0,1
Old Dominion,31,Albany NY,17,1
Pittsburgh,28,Youngstown St,21,1
South Florida,31,Stony Brook,17,1
Virginia,28,William & Mary,10,1
Baylor,45,Liberty,48,1
Iowa St,42,Northern Iowa,24,1
Kansas,38,SE Missouri St,16,1
Kansas St,55,Cent Arkansas,19,1
Louisiana,51,SE Louisiana,48,1
Louisiana Tech,52,Northwestern LA,24,1
Mississippi St,49,Charleston So,0,1
Missouri,72,Missouri St,43,1
North Texas,59,Lamar,14,1
SMU,58,SF Austin,14,1
TCU,63,Jackson St,0,1
Texas St,20,Houston Bap,11,1
Texas Tech,56,E Washington,10,1
Tulane,43,Grambling,14,1
WKU,31,E Kentucky,17,1
Air Force,62,VMI,0,1
New Mexico,38,Abilene Chr,14,1
Arizona,62,Northern Arizona,24,1
Fresno St,66,Incarnate Word,0,1
Oregon,77,Southern Utah,21,1
Oregon St,35,Portland St,32,1
San Jose St,34,Cal Poly,13,1
UNLV,40,Howard,43,1
Washington St,31,Montana St,0,1
Hawaii,41,W Carolina,18,1
San Diego St,38,UC Davis,17,1
UAB,38,Alabama A&M,7,1
Clemson,56,Kent,3,1
Coastal Car,38,Massachusetts,28,1
Alabama,24,Florida St,7,0
Georgia,31,Appalachian St,10,1
Marshall,31,Miami OH,26,1
Michigan St,35,Bowling Green,10,1
North Carolina,30,California,35,1
South Carolina,35,NC State,28,0
Penn St,52,Akron,0,1
Louisville,35,Purdue,28,0
Auburn,41,Ga Southern,7,1
LSU,27,BYU,0,1
Michigan,33,Florida,17,0
Illinois,24,Ball St,21,1
Iowa,24,Wyoming,3,1
Nebraska,43,Arkansas St,36,1
Northwestern,31,Nevada,20,1
Oklahoma,56,UTEP,7,1
Mississippi,47,South Alabama,27,1
Texas,41,Maryland,51,1
Boise St,24,Troy,13,1
USC,49,W Michigan,31,1
Notre Dame,49,Temple,16,1
Southern Miss,17,Kentucky,24,1
MTSU,6,Vanderbilt,28,1
UCLA,45,Texas A&M,44,1
Virginia Tech,31,West Virginia,24,0
Tennessee,42,Georgia Tech,41,0
Utah St,51,Idaho St,13,1
Florida Intl,17,Alcorn St,10,0
Purdue,44,Ohio,21,1
South Alabama,7,Oklahoma St,44,1
Akron,52,Ark Pine Bluff,3,1
Appalachian St,54,Savannah St,7,1
Bowling Green,27,South Dakota,35,1
Georgia Tech,37,Jacksonville St,10,1
Kent,38,Howard,31,1
Kentucky,27,E Kentucky,16,1
Maryland,63,Towson,17,1
Miami OH,31,Austin Peay,10,1
Temple,16,Villanova,13,1
Tennessee,42,Indiana St,7,1
Virginia Tech,27,Delaware,0,1
LSU,45,Chattanooga,10,1
N Illinois,38,E Illinois,10,1
Mississippi,45,TN Martin,23,1
Southern Miss,45,Southern Univ,0,1
Texas A&M,24,Nicholls St,14,1
Troy,34,Alabama St,7,1
Vanderbilt,42,Alabama A&M,0,1
Colorado St,38,Abilene Chr,10,1
Wyoming,27,Gardner Webb,0,1
California,33,Weber St,20,1
Washington,63,Montana,7,1
New Hampshire,22,Ga Southern,12,0
Army,21,Buffalo,17,1
Ball St,51,UAB,31,1
Boston College,10,Wake Forest,34,1
Clemson,14,Auburn,6,1
Duke,41,Northwestern,17,1
Massachusetts,7,Old Dominion,17,1
Michigan,36,Cincinnati,14,1
Michigan St,28,W Michigan,14,1
Navy,23,Tulane,21,1
North Carolina,35,Louisville,47,1
NC State,37,Marshall,20,1
Ohio St,16,Oklahoma,31,1
Penn St,33,Pittsburgh,14,1
Rutgers,13,E Michigan,16,1
Syracuse,23,MTSU,30,1
Virginia,17,Indiana,34,1
West Virginia,56,East Carolina,20,1
Alabama,41,Fresno St,10,1
Arkansas,7,TCU,28,1
Baylor,10,UT San Antonio,17,1
Illinois,20,WKU,7,1
Iowa St,41,Iowa,44,1
Kansas,27,C Michigan,45,1
Kansas St,55,Charlotte,7,1
Missouri,13,South Carolina,31,1
SMU,54,North Texas,32,1
Texas,56,San Jose St,0,1
Tulsa,66,Louisiana,42,1
Wisconsin,31,FL Atlantic,14,1
BYU,13,Utah,19,1
Colorado,37,Texas St,3,1
New Mexico,28,New Mexico St,30,1
UTEP,14,Rice,31,1
Arizona,16,Houston,19,1
Arizona St,20,San Diego St,30,1
Idaho,16,UNLV,44,1
Nevada,24,Toledo,37,1
Oregon,42,Nebraska,35,1
Oregon St,14,Minnesota,48,1
UCLA,56,Hawaii,23,1
USC,42,Stanford,24,1
Washington St,47,Boise St,44,1
Louisiana Tech,21,Mississippi St,57,1
Notre Dame,19,Georgia,20,1
Boise St,28,New Mexico,14,1
South Florida,47,Illinois,23,1
Temple,29,Massachusetts,21,1
UTEP,16,Arizona,63,1
Ball St,28,Tennessee Tech,13,1
Buffalo,33,Colgate,10,1
Charlotte,31,NC A&T,35,1
FL Atlantic,45,Bethune-Cookman,0,1
Georgia,42,Samford,14,1
NC State,49,Furman,16,1
Rutgers,65,Morgan St,0,1
West Virginia,59,Delaware St,16,1
Arkansas St,48,Ark Pine Bluff,3,1
Auburn,24,Mercer,10,1
South Alabama,45,Alabama A&M,0,1
UT San Antonio,51,Southern Univ,17,1
Colorado,41,N Colorado,21,1
Nevada,28,Idaho St,30,1
Akron,14,Iowa St,41,1
Boston College,20,Notre Dame,49,1
Duke,34,Baylor,20,1
East Carolina,17,Virginia Tech,64,1
Florida,26,Tennessee,20,1
Louisville,21,Clemson,47,1
Marshall,21,Kent,0,1
Miami OH,17,Cincinnati,21,1
Michigan,29,Air Force,13,1
Ohio,42,Kansas,30,1
Ohio St,38,Army,7,1
Old Dominion,23,North Carolina,53,1
Penn St,56,Georgia St,0,1
Pittsburgh,21,Oklahoma St,59,1
South Carolina,13,Kentucky,23,1
Syracuse,41,C Michigan,17,1
Toledo,54,Tulsa,51,1
Virginia,38,Connecticut,18,1
Wake Forest,46,Utah St,10,1
W Michigan,37,Idaho,28,1
Alabama,41,Colorado St,23,1
Houston,38,Rice,3,1
Iowa,31,North Texas,14,1
ULM,17,Southern Miss,28,1
Memphis,48,UCLA,45,1
Minnesota,34,MTSU,3,1
Mississippi St,37,LSU,7,1
Missouri,3,Purdue,35,1
Nebraska,17,N Illinois,21,1
Northwestern,49,Bowling Green,7,1
Oklahoma,56,Tulane,14,1
TCU,56,SMU,36,1
Texas A&M,45,Louisiana,21,1
Texas St,13,Appalachian St,20,1
Texas Tech,52,Arizona St,45,1
UAB,30,Coastal Car,23,1
Vanderbilt,14,Kansas St,7,1
WKU,22,Louisiana Tech,23,1
BYU,6,Wisconsin,40,1
New Mexico St,24,Troy,27,1
Utah,54,San Jose St,16,1
California,27,Mississippi,16,1
USC,27,Texas,24,1
Washington,48,Fresno St,16,1
Washington St,52,Oregon St,23,1
Wyoming,13,Oregon,49,1
San Diego St,20,Stanford,17,1
South Florida,43,Temple,7,1
Arizona,24,Utah,30,1
Boise St,23,Virginia,42,1
Coastal Car,10,W Illinois,52,1
W Michigan,49,Wagner,14,1
Memphis,44,S Illinois,31,1
Appalachian St,19,Wake Forest,20,1
Buffalo,34,FL Atlantic,31,1
C Michigan,14,Miami OH,31,1
Charlotte,0,Georgia St,28,1
Clemson,34,Boston College,7,1
E Michigan,20,Ohio,27,1
Florida St,21,NC State,27,1
Georgia,31,Mississippi St,3,1
Georgia Tech,35,Pittsburgh,17,1
Indiana,52,Ga Southern,17,1
Kentucky,27,Florida,28,1
Louisville,42,Kent,3,1
Maryland,10,UCF,38,1
Miami FL,52,Toledo,30,1
Michigan St,18,Notre Dame,38,1
Navy,42,Cincinnati,32,1
North Carolina,17,Duke,27,1
Ohio St,54,UNLV,21,1
Purdue,10,Michigan,28,1
South Carolina,17,Louisiana Tech,16,1
Tennessee,17,Massachusetts,13,1
Virginia Tech,38,Old Dominion,0,1
Baylor,41,Oklahoma,49,1
Houston,24,Texas Tech,27,1
Iowa,19,Penn St,21,1
Kansas,34,West Virginia,56,1
LSU,35,Syracuse,26,1
Louisiana,50,ULM,56,1
MTSU,24,Bowling Green,13,1
Missouri,14,Auburn,51,1
Nebraska,27,Rutgers,17,1
North Texas,46,UAB,43,1
Oklahoma St,31,TCU,44,1
Rice,7,Florida Intl,13,1
SMU,44,Arkansas St,21,1
South Alabama,23,Idaho,29,1
Texas A&M,50,Arkansas,43,0
Texas St,14,UT San Antonio,44,1
Troy,22,Akron,17,1
Tulane,21,Army,17,1
Tulsa,13,New Mexico,16,1
Vanderbilt,0,Alabama,59,1
WKU,33,Ball St,21,1
Colorado,10,Washington,37,1
New Mexico St,41,UTEP,14,1
Wyoming,28,Hawaii,21,1
Arizona St,37,Oregon,35,1
California,20,USC,30,1
San Jose St,10,Utah St,61,1
Stanford,58,UCLA,34,1
Washington St,45,Nevada,7,1
Air Force,24,San Diego St,28,1
Connecticut,38,East Carolina,41,1
Iowa St,7,Texas,17,1
Duke,6,Miami FL,31,1
Illinois,6,Nebraska,28,1
Washington St,30,USC,27,1
Utah St,40,BYU,24,1
Louisville,55,Murray St,10,1
Boston College,28,C Michigan,8,1
Bowling Green,23,Akron,34,1
Cincinnati,21,Marshall,38,1
East Carolina,31,South Florida,61,1
Florida Intl,30,Charlotte,29,1
Florida,38,Vanderbilt,24,1
FL Atlantic,38,MTSU,20,1
Georgia Tech,33,North Carolina,7,1
Kent,13,Buffalo,27,1
Kentucky,24,E Michigan,20,1
Massachusetts,50,Ohio,58,1
Michigan St,17,Iowa,10,1
NC State,33,Syracuse,25,1
Penn St,45,Indiana,14,1
Pittsburgh,42,Rice,10,1
Rutgers,0,Ohio St,56,1
Temple,13,Houston,20,1
Tennessee,0,Georgia,41,1
Virginia Tech,17,Clemson,31,1
Wake Forest,19,Florida St,26,1
W Michigan,55,Ball St,3,1
Alabama,66,Mississippi,3,1
Arkansas,42,New Mexico St,24,1
Auburn,49,Mississippi St,10,1
Kansas St,33,Baylor,20,1
LSU,21,Troy,24,1
Louisiana Tech,34,South Alabama,16,1
ULM,51,Coastal Car,43,1
Minnesota,24,Maryland,31,1
SMU,49,Connecticut,28,1
Southern Miss,28,North Texas,43,1
Texas A&M,24,South Carolina,17,1
Texas Tech,34,Oklahoma St,41,1
Tulsa,21,Navy,31,1
Wisconsin,33,Northwestern,24,1
Wyoming,45,Texas St,10,1
Fresno St,41,Nevada,21,1
Oregon,45,California,24,1
Oregon St,7,Washington,42,1
Stanford,34,Arizona St,24,1
UCLA,27,Colorado,23,1
UNLV,41,San Jose St,13,1
Army,35,UTEP,21,1
Notre Dame,52,Miami OH,17,1
Hawaii,21,Colorado St,51,1
New Mexico,56,Air Force,38,1
San Diego St,34,N Illinois,28,1
UCF,40,Memphis,13,1
Ga Southern,25,Arkansas St,43,1
NC State,39,Louisville,25,1
Connecticut,31,Memphis,70,1
BYU,7,Boise St,24,1
Florida St,20,Miami FL,24,1
Akron,31,Ball St,3,1
Boston College,10,Virginia Tech,23,1
Buffalo,68,W Michigan,71,1
Charlotte,3,Marshall,14,1
Cincinnati,23,UCF,51,1
Clemson,28,Wake Forest,14,1
Coastal Car,21,Georgia St,27,1
East Carolina,10,Temple,34,1
Florida,16,LSU,17,1
Kentucky,40,Missouri,34,1
Miami OH,29,Bowling Green,37,1
Michigan,10,Michigan St,14,1
Navy,48,Air Force,45,1
North Carolina,10,Notre Dame,33,1
Ohio,23,C Michigan,26,1
Ohio St,62,Maryland,14,1
Old Dominion,28,FL Atlantic,58,1
Purdue,31,Minnesota,17,1
South Carolina,48,Arkansas,22,1
Syracuse,27,Pittsburgh,24,1
Toledo,20,E Michigan,15,1
Virginia,28,Duke,21,1
Appalachian St,45,New Mexico St,31,1
Auburn,44,Mississippi,23,1
Iowa,45,Illinois,16,1
Kansas,19,Texas Tech,65,1
MTSU,37,Florida Intl,17,1
Nebraska,17,Wisconsin,38,1
N Illinois,24,Kent,3,1
Northwestern,7,Penn St,31,1
Oklahoma,31,Iowa St,38,1
Rice,12,Army,49,1
Houston,35,SMU,22,1
TCU,31,West Virginia,24,1
Texas,40,Kansas St,34,1
Texas A&M,19,Alabama,27,1
Texas St,27,ULM,45,1
Tulane,62,Tulsa,28,1
UAB,23,Louisiana Tech,22,1
UT San Antonio,29,Southern Miss,31,1
Vanderbilt,14,Georgia,45,1
Colorado,42,Arizona,45,1
UTEP,14,WKU,15,1
Utah,20,Stanford,23,1
Utah St,14,Colorado St,27,1
Idaho,16,Louisiana,21,1
Oregon,10,Washington St,33,1
San Jose St,10,Fresno St,27,1
UNLV,10,San Diego St,41,1
USC,38,Oregon St,10,1
Washington,38,California,7,1
Nevada,35,Hawaii,21,1
Indiana,27,Charleston So,0,1
Troy,8,South Alabama,19,1
Louisiana,24,Texas St,7,1
Syracuse,27,Clemson,24,1
California,37,Washington St,3,1
Miami FL,25,Georgia Tech,24,1
Army,28,E Michigan,27,1
Bowling Green,30,Ohio,48,1
Buffalo,13,N Illinois,14,1
C Michigan,10,Toledo,30,1
Duke,10,Florida St,17,1
Florida Intl,23,Tulane,10,1
Florida,17,Texas A&M,19,1
Georgia,53,Missouri,28,1
Indiana,20,Michigan,27,1
Kent,17,Miami OH,14,1
Louisville,42,Boston College,45,1
Marshall,35,Old Dominion,3,1
Maryland,21,Northwestern,37,1
North Carolina,14,Virginia,20,1
Pittsburgh,17,NC State,35,1
Temple,24,Connecticut,28,1
Tennessee,9,South Carolina,15,1
UCF,63,East Carolina,21,1
West Virginia,46,Texas Tech,35,1
Alabama,41,Arkansas,9,1
Arkansas St,51,Coastal Car,17,1
Illinois,24,Rutgers,35,1
Iowa St,45,Kansas,0,1
Kansas St,6,TCU,26,1
LSU,27,Auburn,23,1
ULM,37,Georgia St,47,1
Memphis,30,Navy,27,1
Minnesota,27,Michigan St,30,1
Mississippi St,35,BYU,10,1
