Home Team,Home Score,Away Team,Away Score,HomeAway Bool
Nebraska,14,Ohio St,56,1
North Texas,29,UT San Antonio,26,1
Oklahoma,29,Texas,24,0
Oklahoma St,59,Baylor,16,1
Mississippi,57,Vanderbilt,35,1
Southern Miss,24,UTEP,0,1
Tulsa,45,Houston,17,1
UAB,25,MTSU,23,1
WKU,45,Charlotte,14,1
Wisconsin,17,Purdue,9,1
Air Force,34,UNLV,30,1
Colorado St,44,Nevada,42,1
Utah St,23,Wyoming,28,1
Arizona,47,UCLA,30,1
Arizona St,13,Washington,7,1
Fresno St,38,New Mexico,0,1
Idaho,20,Appalachian St,23,1
Oregon St,33,Colorado,36,1
Stanford,49,Oregon,7,1
USC,28,Utah,27,1
Ga Southern,27,New Mexico St,35,1
Hawaii,37,San Jose St,26,1
San Diego St,14,Boise St,31,1
South Florida,33,Cincinnati,3,1
W Michigan,13,Akron,14,1
Arkansas St,47,Louisiana,3,1
Houston,38,Memphis,42,1
Old Dominion,31,WKU,35,1
MTSU,10,Marshall,38,1
Nevada,42,Air Force,45,1
New Mexico,24,Colorado St,27,1
Appalachian St,37,Coastal Car,29,1
Army,31,Temple,28,1
Ball St,9,C Michigan,56,1
Bowling Green,17,N Illinois,48,1
Charlotte,25,UAB,24,1
Cincinnati,28,SMU,31,1
Connecticut,20,Tulsa,14,1
Duke,17,Pittsburgh,24,1
East Carolina,33,BYU,17,1
E Michigan,17,W Michigan,20,1
FL Atlantic,69,North Texas,31,1
Florida St,28,Louisville,31,1
Georgia St,10,Troy,34,1
Georgia Tech,38,Wake Forest,24,1
Massachusetts,55,Ga Southern,20,1
Miami FL,27,Syracuse,19,1
Miami OH,24,Buffalo,14,1
Michigan St,17,Indiana,9,1
Navy,21,UCF,31,1
Ohio,48,Kent,3,1
Penn St,42,Michigan,13,1
Rutgers,14,Purdue,12,1
Toledo,48,Akron,21,1
Virginia,10,Boston College,41,1
Virginia Tech,59,North Carolina,7,1
Alabama,45,Tennessee,7,1
Arkansas,20,Auburn,52,1
Baylor,36,West Virginia,38,1
Kansas St,35,Oklahoma,42,1
Louisiana Tech,27,Southern Miss,34,1
Minnesota,24,Illinois,17,1
Mississippi St,45,Kentucky,7,1
Missouri,68,Idaho,21,1
Northwestern,17,Iowa,10,1
Mississippi,24,LSU,40,1
South Alabama,33,ULM,23,1
TCU,43,Kansas,0,1
Texas,10,Oklahoma St,13,1
Texas Tech,13,Iowa St,31,1
Tulane,28,South Florida,34,1
UT San Antonio,20,Rice,7,1
Wisconsin,38,Maryland,13,1
Boise St,24,Wyoming,14,1
Utah,10,Arizona St,30,1
California,44,Arizona,45,1
UCLA,31,Oregon,14,1
UNLV,28,Utah St,52,1
Washington St,28,Colorado,0,1
Notre Dame,49,USC,14,1
San Diego St,3,Fresno St,27,1
Ball St,17,Toledo,58,1
Georgia St,21,South Alabama,13,1
N Illinois,30,E Michigan,27,1
Oregon St,14,Stanford,15,1
Boston College,35,Florida St,3,1
Memphis,56,Tulane,26,1
SMU,38,Tulsa,34,1
Akron,21,Buffalo,20,1
Clemson,24,Georgia Tech,10,1
Coastal Car,7,Texas St,27,1
Connecticut,12,Missouri,52,1
Georgia,42,Florida,7,0
Kentucky,29,Tennessee,26,1
Marshall,30,Florida Intl,41,1
Maryland,42,Indiana,39,1
Massachusetts,30,Appalachian St,27,1
Michigan,35,Rutgers,14,1
North Carolina,19,Miami FL,24,1
Ohio St,39,Penn St,38,1
Pittsburgh,31,Virginia,14,1
Purdue,24,Nebraska,25,1
South Carolina,34,Vanderbilt,27,1
Virginia Tech,24,Duke,3,1
Wake Forest,42,Louisville,32,1
West Virginia,39,Oklahoma St,50,1
BYU,41,San Jose St,20,1
Baylor,7,Texas,38,1
Illinois,10,Wisconsin,24,1
Iowa,17,Minnesota,10,1
Iowa St,14,TCU,7,1
Kansas,20,Kansas St,30,1
North Texas,45,Old Dominion,38,1
Northwestern,39,Michigan St,31,1
Oklahoma,49,Texas Tech,27,1
Mississippi,37,Arkansas,38,1
Rice,28,Louisiana Tech,42,1
Southern Miss,12,UAB,30,1
Texas A&M,14,Mississippi St,35,1
Troy,38,Ga Southern,16,1
WKU,28,FL Atlantic,42,1
Colorado,44,California,28,1
Colorado St,28,Air Force,45,1
New Mexico St,21,Arkansas St,37,1
UTEP,14,UT San Antonio,31,1
Wyoming,42,New Mexico,3,1
Arizona St,17,USC,48,1
Fresno St,16,UNLV,26,1
Idaho,31,ULM,23,1
Oregon,41,Utah,20,1
Washington,44,UCLA,23,1
Notre Dame,35,NC State,14,1
Arizona,58,Washington St,37,1
Hawaii,7,San Diego St,28,1
Utah St,14,Boise St,41,1
South Florida,24,Houston,28,1
UCF,73,Austin Peay,33,1
Kent,16,Bowling Green,44,1
Ohio,45,Miami OH,28,1
W Michigan,28,C Michigan,35,1
E Michigan,56,Ball St,14,1
Temple,34,Navy,26,1
Toledo,27,N Illinois,17,1
Troy,24,Idaho,21,1
Tulsa,14,Memphis,41,1
Utah,48,UCLA,17,1
FL Atlantic,30,Marshall,25,1
Florida Intl,14,UT San Antonio,7,1
Florida St,27,Syracuse,24,1
Georgia,24,South Carolina,10,1
Indiana,17,Wisconsin,45,1
Kentucky,34,Mississippi,37,1
Miami FL,28,Virginia Tech,10,1
Michigan,33,Minnesota,10,1
Michigan St,27,Penn St,24,1
NC State,31,Clemson,38,1
Old Dominion,6,Charlotte,0,1
Purdue,29,Illinois,10,1
Tennessee,24,Southern Miss,10,1
Virginia,40,Georgia Tech,36,1
West Virginia,20,Iowa St,16,1
Alabama,24,LSU,10,1
Arkansas,39,Coastal Car,38,1
Iowa,55,Ohio St,24,1
Kansas,9,Baylor,38,1
Louisiana Tech,23,North Texas,24,1
ULM,52,Appalachian St,45,1
MTSU,30,UTEP,3,1
Mississippi St,34,Massachusetts,23,1
Missouri,45,Florida,16,1
Nebraska,24,Northwestern,31,1
Oklahoma St,52,Oklahoma,62,1
SMU,24,UCF,31,1
South Alabama,14,Louisiana,19,1
TCU,24,Texas,7,1
Texas A&M,27,Auburn,42,1
Texas St,35,New Mexico St,45,1
Texas Tech,35,Kansas St,42,1
Tulane,16,Cincinnati,17,1
UAB,52,Rice,21,1
Vanderbilt,31,WKU,17,1
Boise St,41,Nevada,14,1
New Mexico,10,Utah St,24,1
Arizona St,41,Colorado,30,1
California,37,Oregon St,23,1
Fresno St,20,BYU,13,1
Ga Southern,17,Georgia St,21,1
San Jose,7,San Diego St,52,1
UNLV,31,Hawaii,23,1
USC,49,Arizona,35,1
Washington,38,Oregon,3,1
Washington St,24,Stanford,21,1
Air Force,0,Army,21,1
Notre Dame,48,Wake Forest,37,1
Wyoming,16,Colorado St,13,1
Connecticut,20,South Florida,37,1
Houston,52,East Carolina,27,1
Rutgers,31,Maryland,24,1
Buffalo,38,Bowling Green,28,1
Miami OH,24,Akron,14,1
C Michigan,42,E Michigan,30,1
Ohio,38,Toledo,10,1
W Michigan,48,Kent,20,1
Appalachian St,27,Ga Southern,6,1
Pittsburgh,31,North Carolina,34,1
N Illinois,63,Ball St,17,1
Cincinnati,24,Temple,35,1
Stanford,30,Washington,22,1
UNLV,21,BYU,31,1
Massachusetts,44,Maine,31,0
Army,21,Duke,16,1
Boston College,14,NC State,17,1
Charlotte,21,MTSU,35,1
Clemson,31,Florida St,14,1
Coastal Car,17,Troy,42,1
East Carolina,24,Tulane,31,1
Florida Intl,30,Old Dominion,37,1
Georgia Tech,28,Virginia Tech,22,1
Louisville,38,Virginia,21,1
Marshall,30,WKU,23,1
Maryland,10,Michigan,35,1
Miami FL,41,Notre Dame,8,1
Navy,43,SMU,40,1
Ohio St,48,Michigan St,3,1
Penn St,35,Rutgers,6,1
South Carolina,28,Florida,20,1
Syracuse,43,Wake Forest,64,1
UCF,49,Connecticut,24,1
Auburn,40,Georgia,17,1
Illinois,14,Indiana,24,1
Iowa St,42,Oklahoma St,49,1
Kansas St,23,West Virginia,28,1
LSU,33,Arkansas,10,1
Louisiana Tech,23,FL Atlantic,48,1
Minnesota,54,Nebraska,21,1
Mississippi St,24,Alabama,31,1
Missouri,50,Tennessee,17,1
North Texas,45,UTEP,10,1
Northwestern,23,Purdue,13,1
Oklahoma,38,TCU,20,1
Mississippi,50,Louisiana,22,1
Rice,34,Southern Miss,43,1
South Alabama,24,Arkansas St,19,1
Texas,42,Kansas,27,1
Texas A&M,55,New Mexico,14,1
Texas St,30,Georgia St,33,1
Texas Tech,38,Baylor,24,0
UT San Antonio,19,UAB,24,1
Vanderbilt,21,Kentucky,44,1
Wisconsin,38,Iowa,14,1
Air Force,14,Wyoming,28,1
Arizona,49,Oregon St,28,1
Colorado,24,USC,38,1
Utah,25,Washington St,33,1
Nevada,59,San Jose St,14,1
UCLA,44,Arizona St,37,1
Hawaii,21,Fresno St,31,1
Colorado St,52,Boise St,59,1
Akron,37,Ohio,34,1
Bowling Green,37,Toledo,66,1
Kent,23,C Michigan,42,1
Miami OH,24,E Michigan,27,1
N Illinois,35,W Michigan,31,1
Ball St,24,Buffalo,40,1
South Florida,27,Tulsa,20,1
New Mexico,35,UNLV,38,1
WKU,41,MTSU,38,1
Clemson,61,Citadel,3,1
Florida St,77,Delaware St,6,1
North Carolina,65,W Carolina,10,1
South Carolina,31,Wofford,10,1
Alabama,56,Mercer,0,1
Boston College,39,Connecticut,16,0
Duke,43,Georgia Tech,20,1
East Carolina,48,Cincinnati,20,1
Florida,36,UAB,7,1
FL Atlantic,52,Florida Intl,24,1
Georgia,42,Kentucky,13,1
Indiana,41,Rutgers,0,1
Louisville,56,Syracuse,10,1
Miami FL,44,Virginia,28,1
Michigan St,17,Maryland,7,1
Ohio St,52,Illinois,14,1
Old Dominion,24,Rice,21,1
Penn St,56,Nebraska,44,1
Temple,19,UCF,45,1
Virginia Tech,20,Pittsburgh,14,1
Wake Forest,30,NC State,24,1
West Virginia,14,Texas,28,1
Arkansas,21,Mississippi St,28,1
Arkansas St,30,Texas St,12,1
Auburn,42,ULM,14,1
Baylor,13,Iowa St,23,1
Colorado St,42,San Jose St,14,1
Iowa,15,Purdue,24,1
Kansas,3,Oklahoma,41,1
Louisiana,47,New Mexico St,34,1
Memphis,66,SMU,45,1
North Texas,52,Army,49,1
Northwestern,39,Minnesota,0,1
Oklahoma St,40,Kansas St,45,1
Mississippi,24,Texas A&M,31,1
Southern Miss,66,Charlotte,21,1
Tennessee,10,LSU,30,1
Texas Tech,3,TCU,27,1
Tulane,20,Houston,17,1
UT San Antonio,9,Marshall,7,1
Vanderbilt,17,Missouri,45,1
Wisconsin,24,Michigan,10,1
BYU,10,Massachusetts,16,1
Boise St,44,Air Force,19,1
UTEP,21,Louisiana Tech,42,1
Utah St,38,Hawaii,0,1
Wyoming,7,Fresno St,13,1
Ga Southern,52,South Alabama,0,1
Idaho,7,Coastal Car,13,1
Oregon,48,Arizona,28,1
Oregon St,24,Arizona St,40,1
Stanford,17,California,14,1
USC,28,UCLA,23,1
Washington,33,Utah,30,1
Notre Dame,24,Navy,17,1
San Diego St,42,Nevada,23,1
Akron,24,Kent,14,1
Ball St,7,Miami OH,28,1
E Michigan,34,Bowling Green,31,1
Mississippi St,28,Mississippi,31,1
Buffalo,31,Ohio,24,1
C Michigan,31,N Illinois,24,1
Pittsburgh,24,Miami FL,14,1
Toledo,37,W Michigan,10,1
UCF,49,South Florida,42,1
Virginia,0,Virginia Tech,10,1
Houston,24,Navy,14,1
Nebraska,14,Iowa,56,1
TCU,45,Baylor,22,1
Texas,23,Texas Tech,27,1
San Diego St,35,New Mexico,10,1
Florida Intl,41,WKU,17,1
Arkansas,45,Missouri,48,1
Troy,62,Texas St,9,1
UCLA,30,California,27,1
Charlotte,12,FL Atlantic,31,1
Cincinnati,22,Connecticut,21,1
Florida,22,Florida St,38,1
Georgia St,10,Appalachian St,31,1
Georgia Tech,7,Georgia,38,1
Kentucky,17,Louisville,44,1
Marshall,27,Southern Miss,28,1
Maryland,3,Penn St,66,1
Michigan,20,Ohio St,31,1
NC State,33,North Carolina,21,1
Purdue,31,Indiana,24,1
Rutgers,7,Michigan St,40,1
South Carolina,10,Clemson,34,1
Syracuse,14,Boston College,42,1
Tennessee,24,Vanderbilt,42,1
Wake Forest,23,Duke,31,1
Auburn,26,Alabama,14,1
Illinois,7,Northwestern,42,1
Kansas St,20,Iowa St,19,1
LSU,45,Texas A&M,21,1
Louisiana,24,Ga Southern,34,1
Louisiana Tech,20,UT San Antonio,6,1
ULM,50,Arkansas St,67,1
Memphis,70,East Carolina,13,1
MTSU,41,Old Dominion,10,1
Minnesota,0,Wisconsin,31,1
Oklahoma,59,West Virginia,31,1
Oklahoma St,58,Kansas,17,1
Rice,14,North Texas,30,1
SMU,41,Tulane,38,1
Tulsa,22,Temple,43,1
UAB,28,UTEP,7,1
Air Force,38,Utah St,35,1
Arizona St,42,Arizona,30,1
New Mexico St,17,Idaho,10,1
Utah,34,Colorado,13,1
Nevada,23,UNLV,16,1
Oregon,69,Oregon St,10,1
San Jose St,20,Wyoming,17,1
Stanford,38,Notre Dame,20,1
Washington,41,Washington St,14,1
Fresno St,28,Boise St,17,1
Hawaii,20,BYU,30,1
USC,31,Stanford,28,0
Appalachian St,63,Louisiana,14,1
Coastal Car,28,Ga Southern,17,1
Georgia St,10,Idaho,24,1
Arkansas St,25,Troy,32,1
New Mexico St,22,South Alabama,17,1
Florida Intl,63,Massachusetts,45,1
Florida St,42,ULM,10,1
UCF,62,Memphis,55,1
Clemson,38,Miami FL,3,0
FL Atlantic,41,North Texas,17,1
Georgia,28,Auburn,7,0
Toledo,45,Akron,28,0
Ohio St,27,Wisconsin,21,0
Oklahoma,41,TCU,17,0
Boise St,17,Fresno St,14,1
Army,14,Navy,13,0
Troy,50,North Texas,30,0
Georgia St,27,WKU,17,0
Boise St,38,Oregon,28,0
Marshall,31,Colorado St,28,0
MTSU,35,Arkansas St,30,0
FL Atlantic,50,Akron,3,1
Louisiana Tech,51,SMU,10,0
Temple,28,Florida Intl,3,0
Ohio,41,UAB,6,0
Wyoming,37,C Michigan,14,0
South Florida,38,Texas Tech,34,0
Army,42,San Diego St,35,0
Appalachian St,34,Toledo,0,0
Fresno St,33,Houston,27,0
Utah,30,West Virginia,14,0
Duke,36,N Illinois,14,0
Kansas St,35,UCLA,17,0
Florida St,42,Southern Miss,13,0
Iowa,27,Boston College,20,0
Purdue,38,Arizona,35,0
Texas,33,Missouri,16,0
Navy,49,Virginia,7,1
Oklahoma St,30,Virginia Tech,21,0
TCU,39,Stanford,37,0
Michigan St,42,Washington St,17,0
Wake Forest,55,Texas A&M,52,0
NC State,52,Arizona St,31,0
Northwestern,24,Kentucky,23,0
New Mexico St,26,Utah St,20,0
Ohio St,24,USC,7,0
Mississippi St,31,Louisville,27,0
Memphis,20,Iowa St,21,1
Penn St,35,Washington,28,0
Miami FL,24,Wisconsin,34,1
South Carolina,26,Michigan,19,0
UCF,34,Auburn,27,0
Notre Dame,21,LSU,17,0
Georgia,54,Oklahoma,48,0
Alabama,24,Clemson,6,0
Alabama,26,Georgia,23,0
